,hidden_state,state,q,parent,prev_action,avail_children,step,done
2574,[-0.56045293  0.73308285 -1.96968677  2.25953394],[ 0.8470144 -0.5315699  0.743115   0.6691637 -1.9696867  2.259534 ],[0.24382417 0.30731744 0.44885835],2573,2,2,54,False
2575,[-0.85334825  1.01168358 -0.92102758  0.51929841],[ 0.65746397 -0.753486    0.53043425  0.84772605 -0.9210276   0.51929843],[0.32116732 0.32129964 0.357533  ],2574,0,3,55,False
2576,[ 0.31450745 -0.28015641 -2.31939875  2.99070217],[ 0.95094883  0.30934814  0.9610122  -0.27650598 -2.3193986   2.9907022 ],[0.21877058 0.30156526 0.47966424],2571,2,2,52,False
2577,[-0.18308266  0.3765025  -2.52405942  3.32438985],[ 0.98328716 -0.18206158  0.92995626  0.3676702  -2.5240595   3.32439   ],[0.20120035 0.30358595 0.4952137 ],2576,2,2,53,False
2578,[-0.63219108  0.92547475 -1.88286601  2.05044484],[ 0.8067347 -0.5909138  0.6014554  0.7989064 -1.882866   2.0504448],[0.2526599  0.3086009  0.43873918],2577,1,2,54,False
2579,[-0.92459533  1.20992371 -1.00356869  0.78906783],[ 0.6021577  -0.79837716  0.3530908   0.9355891  -1.0035686   0.7890678 ],[0.30646598 0.32349017 0.37004384],2578,2,2,55,False
2580,[-1.003711    1.19053619  0.22399975 -0.97362001],[ 0.5371759  -0.8434703   0.37116203  0.9285681   0.22399974 -0.97362   ],[0.37806162 0.33535698 0.28658134],2579,0,3,56,False
2581,[ 0.74149718 -1.43489931  2.58154261 -3.61370923],[ 0.7374582   0.67539275  0.13547912 -0.9907802   2.5815425  -3.6137092 ],[0.48339328 0.2880124  0.22859439],2551,2,2,88,False
2582,[ 1.16316029 -1.98785061  1.60067195 -1.96215229],[ 0.39644018  0.91806054 -0.405069   -0.91428614  1.600672   -1.9621522 ],[0.4466503  0.29271603 0.26063368],2581,0,2,89,False
2583,[ 1.371431   -2.23718838  0.46680152 -0.56009817],[ 0.19804727  0.9801925  -0.618154   -0.78605705  0.46680152 -0.5600982 ],[0.41594306 0.30371144 0.28034553],2582,0,2,90,False
2584,[ 1.33361721 -2.17453472 -0.84360199  1.19340982],[ 0.23496164  0.97200465 -0.56772393 -0.823219   -0.843602    1.1934098 ],[0.36705565 0.31300268 0.31994164],2583,2,2,91,False
2585,[ 1.04454948 -1.76991937 -2.03051916  2.90280324],[ 0.50229156  0.86469835 -0.19780977 -0.9802404  -2.0305192   2.9028032 ],[0.27222738 0.3206258  0.40714687],2584,1,3,92,False
2586,[-0.99071002  1.45597406 -2.96312581  4.97288182],[ 0.5480961  -0.83641535  0.11457013  0.9934152  -2.9631257   4.972882  ],[0.1863349  0.28086537 0.5327997 ],2479,2,0,96,False
2587,[-1.44593104  2.21410311 -1.59495986  2.73666822],[ 0.12454107 -0.99221444 -0.5998445   0.8001166  -1.5949599   2.736668  ],[0.25934517 0.31784365 0.42281115],2586,0,2,97,False
2588,[-1.64229787  2.62280278 -0.36820091  1.38016894],[-0.07144063 -0.99744487 -0.8684198   0.4958296  -0.3682009   1.3801689 ],[0.3090501  0.35468474 0.33626512],2587,2,2,98,False
2589,[-1.58838855  2.74905335  0.90300192 -0.12473077],[-0.01759132 -0.99984527 -0.92394066  0.38253582  0.9030019  -0.12473077],[0.34342316 0.36820182 0.288375  ],2588,1,2,99,False
2590,[-1.28372922  2.56578604  2.12569682 -1.73742635],[ 0.28314057 -0.95907843 -0.83875334  0.5445115   2.125697   -1.7374264 ],[0.40665904 0.33970246 0.25363854],2589,1,3,100,False
2591,[ 0.86529341 -0.79037709 -1.65980868  2.87839624],[ 0.64841676  0.76128554  0.7035774  -0.7106186  -1.6598086   2.8783963 ],[0.24798132 0.3013841  0.4506346 ],526,2,2,64,False
2592,[ 0.42230586 -0.04693208 -2.67745756  4.39047297],[ 0.9121463   0.4098648   0.99889886 -0.04691485 -2.6774576   4.390473  ],[0.17249864 0.2960769  0.53142446],2591,2,2,65,False
2593,[-0.14377199  0.83596103 -2.829223    4.11589814],[ 0.9896826 -0.1432772  0.670465   0.7419412 -2.829223   4.115898 ],[0.18404543 0.29245025 0.52350426],2592,2,2,66,False
2594,[-0.66366175  1.51729699 -2.29653663  2.62863046],[ 0.78774184 -0.6160055   0.05347382  0.99856925 -2.2965367   2.6286304 ],[0.23751599 0.30119246 0.4612916 ],2593,2,1,67,False
2595,[-1.03071402  1.86312071 -1.32972894  0.8580038 ],[ 0.5142066  -0.8576664  -0.28817877  0.95757663 -1.329729    0.8580038 ],[0.29422697 0.3337515  0.37202147],2594,1,3,68,False
2596,[ 1.24257317 -1.92903052  0.48902118  0.20181844],[ 0.32236156  0.94661665 -0.35062107 -0.9365174   0.48902118  0.20181844],[0.39826918 0.29627183 0.3054591 ],1037,1,2,76,False
2597,[ 1.22387513 -1.75566196 -0.67775054  1.53288542],[ 0.34000406  0.94042397 -0.18381447 -0.98296094 -0.6777505   1.5328854 ],[0.3404353 0.3052958 0.3542689],2596,0,2,77,False
2598,[ 0.95564907 -1.25713675 -2.0015088   3.50944871],[ 0.5770788   0.8166885   0.30854172 -0.9512108  -2.0015087   3.5094488 ],[0.23934372 0.3091471  0.45150918],2597,2,2,78,False
2599,[ 0.42964055 -0.33392843 -3.18369404  5.61598016],[ 0.90911555  0.41654405  0.94476205 -0.32775697 -3.1836941   5.61598   ],[0.1579017  0.2754451  0.56665325],2598,2,0,79,False
2600,[-0.2399201   0.82248438 -3.28875318  5.45171864],[ 0.971357   -0.23762502  0.68040264  0.73283845 -3.2887533   5.451719  ],[0.1563605  0.27818507 0.56545436],2599,2,0,80,False
2601,[ 1.41204175 -2.03369598  1.71755475 -3.21694777],[ 0.15808856  0.9874249  -0.44654447 -0.89476144  1.7175547  -3.2169478 ],[0.46078584 0.28657675 0.25263748],1501,1,2,104,False
2602,[ 1.62251161 -2.51319257  0.39175372 -1.62181296],[-0.05169223  0.99866307 -0.8089691  -0.5878512   0.39175373 -1.6218129 ],[0.407736   0.31074405 0.28151995],2601,1,2,105,False
2603,[ 1.57727734 -2.70720044 -0.83909114 -0.31028798],[-0.00648097  0.999979   -0.907126   -0.42085913 -0.8390911  -0.31028798],[0.3902743  0.30987036 0.2998553 ],2602,0,2,106,False
2604,[ 1.28985471 -2.63043686 -2.0178546   1.10127022],[ 0.27726048  0.9607948  -0.8721797  -0.48918563 -2.0178547   1.1012702 ],[0.35646468 0.31023398 0.3333013 ],2603,0,2,107,False
2605,[ 0.77967784 -2.23443196 -3.01548475  2.89868777],[ 0.7111401   0.7030504  -0.6159849  -0.78775793 -3.0154848   2.8986878 ],[0.2653936  0.3262418  0.40836462],2604,1,3,108,False
2606,[-3.03442502e-01 -4.13286724e-03  3.31454883e+00 -5.91811623e+00],"[ 9.5431352e-01 -2.9880720e-01  9.9999148e-01 -4.1328557e-03
  3.3145487e+00 -5.9181161e+00]",[0.5348667  0.27681226 0.1883211 ],2040,1,0,86,False
2607,[ 0.34680152 -1.10261577  3.01759736 -4.70273256],[ 0.9404647   0.3398915   0.45126337 -0.8923908   3.0175974  -4.7027326 ],[0.5047654  0.28806725 0.20716734],2606,1,2,87,False
2608,[ 0.86277066 -1.81774353  2.10342374 -2.48435211],[ 0.65033525  0.7596473  -0.24444492 -0.9696632   2.1034238  -2.484352  ],[0.4648073  0.28813514 0.24705748],2607,2,2,88,False
2609,[ 1.18038523 -2.13893261  1.0391221  -0.76410562],[ 0.38056862  0.9247527  -0.53806204 -0.8429052   1.0391221  -0.7641056 ],[0.42820916 0.29644442 0.27534643],2608,1,2,89,False
2610,[ 1.26939937 -2.13322137 -0.16012215  0.81116841],[ 0.2968545   0.95492274 -0.53323925 -0.8459645  -0.16012216  0.81116843],[0.38610047 0.30405885 0.30984068],2609,1,3,90,False
2611,[ 0.33531281 -1.07277582  2.91278011 -4.42983023],[ 0.94430745  0.32906458  0.47768742 -0.87852985  2.91278    -4.42983   ],[0.4971547  0.29075068 0.21209465],2606,2,2,87,False
2612,[ 0.84202869 -1.7652114   2.10666212 -2.50427382],[ 0.6659508   0.74599564 -0.19319266 -0.9811608   2.106662   -2.504274  ],[0.46466842 0.28836954 0.24696201],2611,1,2,88,False
2613,[ 1.16107008 -2.08993787  1.05003158 -0.77935793],[ 0.39835826  0.9172299  -0.49613497 -0.8682454   1.0500315  -0.7793579 ],[0.4282732  0.29526186 0.27646494],2612,1,2,89,False
2614,[ 1.25281331 -2.08698836 -0.14424865  0.79827232],[ 0.31265134  0.94986796 -0.4935719  -0.86970496 -0.14424865  0.7982723 ],[0.3853492  0.30287337 0.31177735],2613,1,2,90,False
2615,[ 1.09441569 -1.74511061 -1.43874521  2.65628651],[ 0.4585658   0.88866043 -0.17343286 -0.9848457  -1.4387453   2.6562865 ],[0.28817934 0.31654292 0.39527774],2614,2,3,91,False
2616,[-0.01895508  0.18673491  2.15310736 -3.3471121 ],[ 0.99982035 -0.01895395  0.98261565  0.18565156  2.1531074  -3.3471122 ],[0.46019816 0.31168157 0.22812028],265,1,2,46,False
2617,[ 0.40758906 -0.49751173  1.9937367  -3.26602036],[ 0.9180792   0.39639705  0.8787728  -0.47724038  1.9937367  -3.2660203 ],[0.455109   0.30892047 0.23597059],2616,0,1,47,False
2618,[ 0.71717176 -0.99162092  1.05764732 -1.62682231],[ 0.7536676   0.65725577  0.547334   -0.83691424  1.0576473  -1.6268224 ],[0.42683715 0.2975056  0.27565724],2617,2,2,48,False
2619,[ 0.8320751  -1.17456826  0.07985223 -0.20294677],[ 0.673343    0.73933023  0.38594142 -0.9225233   0.07985223 -0.20294677],[0.3773677  0.29274347 0.32988885],2618,1,1,49,False
2620,[ 0.75898637 -1.10086036 -0.80096771  0.93976727],[ 0.72553396  0.68818635  0.45282918 -0.8915973  -0.8009677   0.93976724],[0.33719823 0.29157928 0.3712224 ],2619,0,0,50,False
2621,[-0.93827549  1.31982342 -2.70421228  4.29382653],[ 0.5911798  -0.80653983  0.24834651  0.96867126 -2.7042122   4.2938266 ],[0.19085552 0.28822145 0.520923  ],2531,0,2,96,False
2622,[-1.34679088  1.95371688 -1.37681244  2.14116494],[ 0.22213677 -0.9750155  -0.3736311   0.9275774  -1.3768125   2.141165  ],[0.2651148  0.32529667 0.4095885 ],2621,0,2,97,False
2623,[-1.48742359  2.20241499 -0.02840901  0.37646066],[ 0.08327618 -0.9965265  -0.5904519   0.8070728  -0.02840901  0.37646067],[0.3170491  0.35600856 0.3269424 ],2622,0,2,98,False
2624,[-1.36606989  2.12653013  1.2346181  -1.15649851],[ 0.20329931 -0.9791166  -0.5275668   0.84951353  1.2346181  -1.1564986 ],[0.37464744 0.35138527 0.27396727],2623,1,2,99,False
2625,[-0.99238028  1.69985617  2.48044482 -3.18267366],[ 0.54669833 -0.8373296  -0.12870187  0.9916833   2.480445   -3.1826737 ],[0.43682876 0.32853156 0.23463961],2624,0,3,100,False
2626,[ 0.97124509 -1.49088151  0.15597529  0.81975027],[ 0.56427205  0.82558894  0.07982979 -0.9968085   0.1559753   0.81975025],[0.35881817 0.29156303 0.3496188 ],1690,0,0,62,False
2627,[ 0.89818513 -1.1973563  -0.88322601  2.11429967],[ 0.6230306   0.7821975   0.3648205  -0.93107784 -0.88322604  2.1142998 ],[0.2953507  0.30067548 0.40397385],2626,0,2,63,False
2628,[ 0.62471227 -0.64746912 -1.8127314   3.34350942],[ 0.8111314  0.5848639  0.7976129 -0.6031697 -1.8127314  3.3435094],[0.22335349 0.29850343 0.478143  ],2627,0,2,64,False
2629,[ 0.17745073  0.15792053 -2.53546468  4.46507646],[ 0.9842969   0.17652091  0.98755646  0.15726495 -2.5354648   4.4650764 ],[0.16820166 0.297925   0.5338733 ],2628,2,2,65,False
2630,[-0.32507435  1.00402203 -2.36435267  3.75087578],[ 0.947627   -0.31937924  0.5369135   0.8436373  -2.3643527   3.7508757 ],[0.19820069 0.30594987 0.49584943],2629,2,3,66,False
2631,[ 0.3797574  -1.37442964  2.45270608 -3.43408909],[ 0.92875457  0.37069517  0.19510713 -0.9807819   2.452706   -3.4340892 ],[0.4744354  0.29859605 0.2269685 ],2187,2,2,73,False
2632,[ 0.80211391 -1.88635828  1.72067228 -1.69547576],[ 0.6951887   0.71882725 -0.31035072 -0.95062214  1.7206722  -1.6954757 ],[0.45039916 0.2946655  0.25493535],2631,1,2,74,False
2633,[ 1.04163194 -2.03797062  0.63915079  0.16137581],[ 0.5048122   0.8632292  -0.4503652  -0.89284444  0.6391508   0.16137582],[0.40543112 0.29749116 0.2970778 ],2632,2,2,75,False
2634,[ 1.06348648 -1.8693503  -0.42942451  1.52556962],[ 0.48582765  0.8740546  -0.29413846 -0.9557628  -0.4294245   1.5255697 ],[0.34587398 0.30600974 0.34811628],2633,0,2,76,False
2635,[ 0.87033259 -1.4228568  -1.49139355  2.96083303],[ 0.6445723   0.76454335  0.14740048 -0.9890769  -1.4913936   2.960833  ],[0.26471364 0.30874756 0.4265388 ],2634,0,3,77,False
2636,[ 0.35820645 -1.13227997  3.12095233 -4.97268955],[ 0.93652713  0.3505951   0.42459667 -0.90538263  3.1209524  -4.9726896 ],[0.5141613  0.2839444  0.20189434],2606,0,0,87,False
2637,[ 0.90998583 -1.94260686  2.35012563 -3.15112478],[ 0.61375695  0.78949505 -0.36330286 -0.9316711   2.3501256  -3.1511247 ],[0.47707364 0.28707647 0.23584986],2636,0,2,88,False
2638,[ 1.26702823 -2.37119556  1.19009332 -1.18900158],[ 0.2991179   0.9542162  -0.7176342  -0.69642025  1.1900933  -1.1890016 ],[0.4296497  0.30187342 0.26847693],2637,2,2,89,False
2639,[ 1.39111216 -2.47169798  0.04102113  0.17136562],[ 0.17871884  0.9839002  -0.7838871  -0.62090343  0.04102113  0.17136562],[0.40768665 0.30898255 0.28333074],2638,0,1,90,False
2640,[ 1.27636682 -2.28223131 -1.1824663   1.73876537],[ 0.29019395  0.95696783 -0.6529213  -0.7574257  -1.1824663   1.7387654 ],[0.3424418  0.32241115 0.33514714],2639,1,3,91,False
2641,[-1.121564    2.02563856 -1.73830942  1.60121296],[ 0.43427417 -0.90078074 -0.4393206   0.89833033 -1.7383094   1.601213  ],[0.2744239  0.3203363  0.40523976],2061,1,2,82,False
2642,[-1.35938011  2.20016359 -0.61812058  0.17472035],[ 0.2098448  -0.9777347  -0.58863336  0.8084001  -0.61812055  0.17472035],[0.31340203 0.35127223 0.3353257 ],2641,2,2,83,False
2643,[-1.35733217  2.08105584  0.64207514 -1.36684614],[ 0.2118467  -0.9773029  -0.48840374  0.8726178   0.6420751  -1.3668461 ],[0.36959884 0.35745895 0.27294227],2642,1,2,84,False
2644,[-1.11155115  1.66700762  1.80344333 -2.81338817],[ 0.4432716  -0.89638734 -0.09606293  0.9953753   1.8034433  -2.813388  ],[0.4212653  0.34312835 0.23560633],2643,2,2,85,False
2645,[-0.63394568  0.90758472  2.94526867 -4.81711054],[ 0.80569667 -0.59232837  0.61565083  0.78801906  2.9452686  -4.8171105 ],[0.49065393 0.30286774 0.20647837],2644,1,3,86,False
2646,[-1.42137669  2.26609647 -1.23883259  1.39052577],[ 0.14886425 -0.9888576  -0.64061594  0.7678615  -1.2388326   1.3905258 ],[0.29063153 0.33185467 0.37751383],1066,2,2,83,False
2647,[-1.55020034  2.41051744 -0.0440611   0.07219826],[ 0.02059454 -0.9997879  -0.74445695  0.6676705  -0.0440611   0.07219826],[0.3232988  0.35893512 0.31776607],2646,2,2,84,False
2648,[-1.42568251  2.25380047  1.28574256 -1.66114887],[ 0.14460504 -0.98948944 -0.6311261   0.77568024  1.2857425  -1.6611489 ],[0.38498855 0.35489544 0.26011598],2647,0,2,85,False
2649,[-1.05429518  1.77113165  2.40620049 -3.22704894],[ 0.49384072 -0.8695524  -0.19899796  0.9799999   2.4062004  -3.2270489 ],[0.43391436 0.33282822 0.2332574 ],2648,2,2,86,False
2650,[-0.4557613   0.88090897  3.55271656 -5.73004804],[ 0.8979262  -0.44014603  0.6364503   0.7713177   3.5527165  -5.730048  ],[0.52188516 0.28408793 0.19402695],2649,0,0,87,False
2651,[-0.94907541  1.34808139 -2.80183987  4.55136392],[ 0.5824349  -0.81287736  0.22087832  0.9753014  -2.8018398   4.551364  ],[0.18670963 0.28534296 0.5279474 ],2531,1,0,96,False
2652,[-1.39167436  2.07520984 -1.61207534  2.80401722],[ 0.17816566 -0.9840005  -0.48329407  0.87545806 -1.6120753   2.8040173 ],[0.25248867 0.31674367 0.4307677 ],2651,2,2,97,False
2653,[-1.57758998  2.45366264 -0.24978223  1.02057664],[-0.0067936  -0.99997693 -0.77256197  0.6349394  -0.24978222  1.0205766 ],[0.30895862 0.3571672  0.3338741 ],2652,0,2,98,False
2654,[-1.49329979  2.48720452  1.08643634 -0.69719627],[ 0.07741898 -0.99699867 -0.7934205   0.6086739   1.0864364  -0.69719625],[0.35607603 0.3621404  0.28178358],2653,0,2,99,False
2655,[-1.147952    2.16231455  2.3426625  -2.60602133],[ 0.41035593 -0.91192544 -0.55762196  0.83009505  2.3426626  -2.6060214 ],[0.41852617 0.33654934 0.24492449],2654,0,2,100,False
2656,[-1.08652975  1.94086637 -1.80331514  1.64816773],[ 0.4655594  -0.8850166  -0.36168075  0.932302   -1.8033152   1.6481677 ],[0.2706553  0.31960163 0.4097431 ],856,0,2,82,False
2657,[-1.33074852  2.10124891 -0.61507384 -0.00962934],[ 0.23774907 -0.9713266  -0.5059238   0.8625782  -0.61507386 -0.00962934],[0.31583223 0.35209715 0.33207065],2656,1,2,83,False
2658,[-1.32730056  1.94451347  0.65434669 -1.55925428],[ 0.24109674 -0.97050107 -0.3650785   0.93097675  0.6543467  -1.5592543 ],[0.3745406  0.357868   0.26759142],2657,1,2,84,False
2659,[-1.07797895  1.49130821  1.82753948 -3.0122253 ],[ 0.47310987 -0.88100344  0.07940444  0.9968425   1.8275394  -3.0122254 ],[0.4274132  0.34221077 0.23037606],2658,2,2,85,False
2660,[-0.60460661  0.72287995  2.8599152  -4.65223998],[ 0.8227258 -0.5684385  0.7499036  0.6615471  2.8599153 -4.65224  ],[0.48795453 0.30305877 0.20898664],2659,2,3,86,False
2661,[-1.51537315  1.4427531  -1.27079147  3.95389465],[ 0.05539481 -0.9984645   0.12769362  0.99181366 -1.2707915   3.9538946 ],[0.21686901 0.3147623  0.4683687 ],2416,0,2,98,False
2662,[-1.6081876   2.06539797  0.33319789  2.29829824],[-0.03738256 -0.999301   -0.47468108  0.8801579   0.3331979   2.2982984 ],[0.2799906  0.35741743 0.36259198],2661,1,2,99,False
2663,[-1.38286592  2.33542191  1.88640225  0.36838733],[ 0.18682614 -0.98239297 -0.6922669   0.7216416   1.8864022   0.36838734],[0.34575507 0.35404354 0.30020133],2662,0,2,100,False
2664,[-0.87346731  2.19544925  3.13125244 -1.81197558],[ 0.6421725  -0.76656014 -0.5848158   0.81116617  3.1312525  -1.8119756 ],[0.4314799  0.30936155 0.25915855],2663,0,2,101,False
2665,[-0.17313227  1.5970777   3.76307043 -4.18338537],[ 0.98505    -0.17226863 -0.02627835  0.99965465  3.7630703  -4.1833854 ],[0.49567363 0.28262407 0.22170222],2664,0,3,102,False
2666,[ 0.31861075 -0.43089024  3.92227939 -6.76231255],[ 0.9496715   0.31324753  0.90859425 -0.41767985  3.9222794  -6.7623124 ],[0.56676006 0.25876158 0.17447844],2650,0,0,88,False
2667,[ 0.98985312 -1.53508953  2.72120032 -4.19489413],[ 0.5488126   0.83594537  0.03569921 -0.9993626   2.7212002  -4.1948943 ],[0.49880457 0.27558008 0.2256154 ],2666,2,2,89,False
2668,[ 1.41987964 -2.19632677  1.56371921 -2.49989703],[ 0.15034446  0.9886337  -0.58552736 -0.8106527   1.5637192  -2.499897  ],[0.44680664 0.29176924 0.26142406],2667,0,2,90,False
2669,[ 1.59835694 -2.51692229  0.22134959 -0.74003491],[-0.02755712  0.99962026 -0.811156   -0.5848299   0.2213496  -0.7400349 ],[0.406582  0.3125481 0.2808699],2668,2,2,91,False
2670,[ 1.5156356  -2.51551013 -1.0446895   0.76586483],[ 0.05513276  0.998479   -0.81032926 -0.5859748  -1.0446895   0.76586485],[0.37949616 0.31173187 0.3087719 ],2669,1,3,92,False
2671,[-1.45370499  2.23659694 -1.66713776  2.95103207],[ 0.11682396 -0.9931526  -0.61768895  0.7864225  -1.6671377   2.9510322 ],[0.25550058 0.31585515 0.42864427],2586,1,2,97,False
2672,[-1.66382017  2.68695518 -0.43530926  1.58491477],[-0.09288974 -0.9956764  -0.8984203   0.43913662 -0.43530926  1.5849148 ],[0.3081848  0.35329652 0.33851868],2671,2,2,98,False
2673,[-1.61776937  2.8343321   0.89069048 -0.11613132],[-0.04695577 -0.99889696 -0.9531657   0.30244863  0.8906905  -0.11613133],[0.343871   0.36940417 0.28672484],2672,0,2,99,False
2674,[-1.31548563  2.65413944  2.11731813 -1.71159523],[ 0.25254604 -0.96758485 -0.8835286   0.46837726  2.1173182  -1.7115952 ],[0.40690997 0.3395311  0.2535589 ],2673,1,2,100,False
2675,[-0.79209416  2.15435165  3.05213267 -3.33672061],[ 0.70235616 -0.71182567 -0.55099434  0.83450896  3.0521326  -3.3367207 ],[0.45012355 0.3146495  0.23522688],2674,2,3,101,False
2676,[ 0.52028494 -0.80088106 -1.55008186  2.03477424],[ 0.86767757  0.49712738  0.6960744  -0.71796966 -1.5500818   2.0347743 ],[0.27800444 0.29591385 0.4260818 ],2620,0,0,51,False
2677,[ 0.16109198 -0.3124643  -1.96397636  2.72881424],[ 0.98705274  0.16039614  0.9515789  -0.30740455 -1.9639764   2.7288141 ],[0.23088685 0.30295253 0.46616057],2676,0,2,52,False
2678,[-0.22508334  0.2194917  -1.79695746  2.40856055],[ 0.9747755  -0.2231876   0.97600824  0.21773355 -1.7969575   2.4085605 ],[0.24532056 0.30484083 0.44983864],2677,0,2,53,False
2679,[-0.53494104  0.62340534 -1.23649046  1.53386557],[ 0.8602987  -0.5097903   0.81189513  0.5838033  -1.2364905   1.5338656 ],[0.28728026 0.30964443 0.40307525],2678,1,2,54,False
2680,[-0.70162041  0.81226344 -0.40466395  0.33530448],[ 0.7637973  -0.6454562   0.6878573   0.72584593 -0.40466395  0.33530447],[0.34121722 0.31682155 0.34196126],2679,1,3,55,False
2681,[ 1.01014131 -1.58872882  2.90319219 -4.68179904],[ 0.531741    0.846907   -0.01793153 -0.99983925  2.9031923  -4.681799  ],[0.50987476 0.27171648 0.21840884],2666,0,0,89,False
2682,[ 1.46557726 -2.31728848  1.64587774 -2.71397947],[ 0.10502503  0.9944696  -0.6790679  -0.7340754   1.6458777  -2.7139795 ],[0.45018482 0.29057607 0.25923908],2681,1,2,90,False
2683,[ 1.66067738 -2.68142402  0.30778207 -0.96126477],[-0.08976008  0.9959634  -0.8959776  -0.44409922  0.30778208 -0.9612648 ],[0.40639192 0.3139485  0.27965957],2682,2,2,91,False
2684,[ 1.59008927 -2.70498036 -1.01093818  0.7341974 ],[-0.01929175  0.9998139  -0.90618944 -0.422872   -1.0109382   0.7341974 ],[0.38232094 0.31189787 0.30578122],2683,2,2,92,False
2685,[ 1.26480095 -2.39853452 -2.22383662  2.3717236 ],[ 0.30124247  0.9535476  -0.73640305 -0.6765431  -2.2238367   2.3717237 ],[0.3085709  0.32870263 0.36272645],2684,1,3,93,False
2686,[-0.52477751  1.27708678  3.08751689 -4.85877572],[ 0.8654354 -0.5010205  0.2895049  0.9571765  3.0875168 -4.8587756],[0.49173433 0.30182347 0.20644222],1205,1,2,86,False
2687,[ 0.17647425  0.07336173  3.76018806 -6.82803051],[ 0.9844688   0.17555968  0.9973102   0.07329594  3.760188   -6.8280306 ],[0.57111007 0.2559961  0.17289382],2686,0,0,87,False
2688,[ 0.86367593 -1.18988694  2.91736016 -5.39631864],[ 0.6496473   0.7602357   0.37176484 -0.92832696  2.91736    -5.3963184 ],[0.52485913 0.2710533  0.20408751],2687,0,0,88,False
2689,[ 1.3049182  -2.02497306  1.50392018 -3.07410202],[ 0.26275665  0.96486217 -0.43872267 -0.8986225   1.5039202  -3.074102  ],[0.4566196  0.2907268  0.25265363],2688,2,2,89,False
2690,[ 1.4676774  -2.45283163  0.12944492 -1.24353184],[ 0.10293628  0.994688   -0.77203405 -0.63558114  0.12944493 -1.2435318 ],[0.40670153 0.31027803 0.28302047],2689,2,3,90,False
2691,[-0.32943737  0.43400158  1.46594143 -1.91047826],[ 0.9462245  -0.3235107   0.90729034  0.42050475  1.4659414  -1.9104782 ],[0.43256828 0.31351897 0.25391284],1815,2,2,45,False
2692,[ 0.01111937 -0.04036718  1.85539104 -2.68830762],[ 0.9999382   0.01111914  0.9991854  -0.04035622  1.855391   -2.6883075 ],[0.44664073 0.30814463 0.24521458],2691,0,2,46,False
2693,[ 0.34699934 -0.50205286  1.42440023 -1.79699806],[ 0.9403974   0.34007752  0.8765965  -0.4812261   1.4244002  -1.796998  ],[0.43097058 0.29856846 0.27046102],2692,2,2,47,False
2694,[ 0.58169896 -0.78999361  0.8782755  -1.0291051 ],[ 0.8355304   0.54944426  0.70384985 -0.7103488   0.8782755  -1.0291051 ],[0.40606934 0.2959832  0.29794753],2693,0,2,48,False
2695,[ 0.66306014 -0.84190153 -0.07697606  0.51252728],[ 0.7881123   0.61553144  0.66604567 -0.745911   -0.07697606  0.5125273 ],[0.3470745  0.29326278 0.35966277],2694,2,1,49,False
2696,[-0.21537568  0.75908343 -3.06295163  4.86799695],[ 0.97689617 -0.21371445  0.72546715  0.6882568  -3.0629516   4.867997  ],[0.16383141 0.28782666 0.548342  ],2599,0,0,80,False
2697,[-0.74672506  1.52085672 -2.19678357  2.72318987],[ 0.7339173  -0.67923886  0.04991885  0.99875325 -2.1967835   2.7231898 ],[0.23522945 0.3033431  0.4614274 ],2696,0,2,81,False
2698,[-1.09549572  1.90999672 -1.25410589  1.19739456],[ 0.45760575 -0.8891552  -0.33273315  0.943021   -1.2541059   1.1973946 ],[0.2870058  0.33031267 0.38268152],2697,2,2,82,False
2699,[-1.23786867  2.01085808 -0.15533995 -0.17122997],[ 0.3268113  -0.9450896  -0.42599532  0.9047254  -0.15533996 -0.17122997],[0.32862985 0.34756735 0.32380283],2698,2,2,83,False
2700,[-1.15587813  1.84322083  0.97024086 -1.5158989 ],[ 0.40311506 -0.9151493  -0.26906732  0.96312135  0.97024083 -1.515899  ],[0.38627207 0.3466128  0.26711515],2699,2,3,84,False
2701,[ 0.09586637 -0.38084688  3.59856358 -6.14957585],[ 0.99540836  0.09571959  0.92835015 -0.3717068   3.5985637  -6.1495757 ],[0.54877985 0.26769483 0.18352535],2560,0,0,87,False
2702,[ 0.74420628 -1.42799567  2.78402668 -4.1537061 ],[ 0.7356258   0.67738813  0.14231582 -0.9898213   2.7840266  -4.153706  ],[0.49539402 0.28365973 0.22094622],2701,1,2,88,False
2703,[ 1.2031365  -2.07932698  1.77440173 -2.42044669],[ 0.35943264  0.93317103 -0.48689437 -0.8734609   1.7744018  -2.4204466 ],[0.45424372 0.29138657 0.25436965],2702,0,2,89,False
2704,[ 1.44425994 -2.41774968  0.62232032 -0.99814728],[ 0.12619898  0.99200493 -0.7492662  -0.66226894  0.6223203  -0.99814725],[0.4170232  0.30894685 0.27402988],2703,0,2,90,False
2705,[ 1.44333056 -2.4644811  -0.6303844   0.53078866],[ 0.12712088  0.9918872  -0.7793857  -0.6265444  -0.6303844   0.53078866],[0.39134282 0.30973238 0.29892477],2704,1,3,91,False
2706,[ 0.85251268 -1.16057898  2.81752001 -5.12998144],[ 0.65809333  0.75293636  0.39880866 -0.91703415  2.81752    -5.1299815 ],[0.5197323  0.27250952 0.20775825],2687,1,0,88,False
